Date Local,County Code,Parameter Name,Units of Measure,Arithmetic Mean,CBSA Name
2019-01-01,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),13,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),16,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),10,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),22,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),19,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),28,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),18,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),24,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),16,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),20,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),11,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),22,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),10,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),12,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),24,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),11,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),13,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),14,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),17,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),23,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,99,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),11,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),19,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,86,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),25,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,11,PM10 Total 0-10um STP,Micrograms/cubic meter (25 C),13,"Miami-Fort Lauderdale-West Palm Beach, FL"
