Date Local,County Code,Parameter Name,Units of Measure,Arithmetic Mean,CBSA Name
2019-01-01,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),15.333333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.554167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),15.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),53.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),53.795833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.195833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),1.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),5.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),5.125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),1.363636,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.170833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.979167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),10.7875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.041667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.295833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),10.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),11.370833,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.966667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.333333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),11.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.979167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),3.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),3.958333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.704167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),3.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),3.083333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.858333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.275,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),4.291667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.295455,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.833333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.841667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),8.429167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),9.652174,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.291667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),9.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.866667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-10,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),6.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-11,11,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),2.666667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-11,99,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),5.354167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-11,86,Acceptable PM2.5 AQI & Speciation Mass,Micrograms/cubic meter (LC),7.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
