Date Local,County Code,Parameter Name,Units of Measure,Arithmetic Mean,CBSA Name
2019-01-01,11,Sulfur dioxide,Parts per billion,0.15,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,Sulfur dioxide,Parts per billion,0.6625,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,86,Sulfur dioxide,Parts per billion,0.625,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-01,11,Sulfur dioxide,Parts per billion,0.15,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,Sulfur dioxide,Parts per billion,0.7125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,Sulfur dioxide,Parts per billion,0.125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,11,Sulfur dioxide,Parts per billion,0.133333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-02,86,Sulfur dioxide,Parts per billion,0.754167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,Sulfur dioxide,Parts per billion,0.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,Sulfur dioxide,Parts per billion,0.6875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,11,Sulfur dioxide,Parts per billion,0.116667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-03,86,Sulfur dioxide,Parts per billion,0.725,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,Sulfur dioxide,Parts per billion,0.740909,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,Sulfur dioxide,Parts per billion,0.15,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,86,Sulfur dioxide,Parts per billion,0.728571,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-04,11,Sulfur dioxide,Parts per billion,0.166667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,Sulfur dioxide,Parts per billion,0.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,11,Sulfur dioxide,Parts per billion,0.108333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,Sulfur dioxide,Parts per billion,0.675,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-05,86,Sulfur dioxide,Parts per billion,0.683333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,Sulfur dioxide,Parts per billion,0.7125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,Sulfur dioxide,Parts per billion,0.125,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,Sulfur dioxide,Parts per billion,0.133333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,86,Sulfur dioxide,Parts per billion,0.733333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,Sulfur dioxide,Parts per billion,0.22,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,86,Sulfur dioxide,Parts per billion,0.829167,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,86,Sulfur dioxide,Parts per billion,0.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-07,11,Sulfur dioxide,Parts per billion,0.223529,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,Sulfur dioxide,Parts per billion,0.1875,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,86,Sulfur dioxide,Parts per billion,0.883333,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,86,Sulfur dioxide,Parts per billion,0.85,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-08,11,Sulfur dioxide,Parts per billion,0.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,Sulfur dioxide,Parts per billion,0.175,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,Sulfur dioxide,Parts per billion,0.191667,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,86,Sulfur dioxide,Parts per billion,0.725,"Miami-Fort Lauderdale-West Palm Beach, FL"
