Date Local,County Code,Parameter Name,Units of Measure,Arithmetic Mean,CBSA Name
2019-01-03,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),10.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-06,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),6.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-09,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),8.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-12,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),11.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-15,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),8.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-18,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),8.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-21,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),8.1,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-24,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),10.2,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-27,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),1.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-30,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),2.7,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-01-30,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),6.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-02,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),7.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-02,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),5.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-05,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),5.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-05,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),1.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-08,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),5.4,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-08,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),7.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-11,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),6.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-11,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),10.6,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-14,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),9.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-14,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),7.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-17,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),4.9,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-20,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),9.5,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-20,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),9.8,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-23,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),7.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-23,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),9.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-26,86,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),13.3,"Miami-Fort Lauderdale-West Palm Beach, FL"
2019-02-26,11,PM10-2.5 - Local Conditions,Micrograms/cubic meter (LC),16.0,"Miami-Fort Lauderdale-West Palm Beach, FL"
